,customer_unique_id,Recency,Frequency,Monetary
0,7c396fd4830fd04220f754e42b4e5bff,331,3,38.71
1,af07308b275d755c9edb36a90c618231,35,1,141.46
2,3a653a41f6f9fc3d2a113cf8398680e8,21,1,179.12
3,7c142cf63193a1473d2e66489a9ae977,283,1,72.2
4,72632f0f9dd73dfee390c9b22eb56dd6,196,1,28.62
5,e97109680b052ee858d93a539597bba7,83,1,50.13
6,e2dfa3127fedbbca9707b36304996dab,34,1,32.7
7,04cf8185c71090d28baa4407b2e6d600,181,1,54.36
8,ccafc1c3f270410521c3c6f3b249870f,82,1,146.45
9,6e26bbeaa107ec34112c64e1ee31c0f5,238,1,1376.45
10,6087cfc70fd833cf2db637a5e6e9d76b,245,1,43.09
11,d0ff1a7468fcc46b8fc658ab35d2a12c,281,1,29.75
12,634f09f6075fe9032e6c19609ffe995a,306,3,92.97
13,68954feaafe4dd638f3bd3e2afa174ec,167,1,88.9
14,b8df986511d928829c3192c2ed081eba,206,1,17.28
15,451e48381edab7f1f6dbfa6d728616ff,233,1,187.57
16,9c9242ad7f1b52d926ea76778e1c0c57,20,1,104.11
17,a25d5f94840d3c6a1a49f271ed83f4ec,189,1,125.43
18,576ea0cab426cd8a00fad9a9c90a4494,86,4,455.36
19,f4a7ef6bd931f83d75d83b71c94e90df,170,1,60.69
20,bd13608b9c6033892ce62269b50a0afc,119,1,192.68
21,1428917cd397d4f9ac0fde76dd6f2266,185,1,63.34
22,a6fefcd9f434474cf6fcd8ed1102fd63,134,1,224.9
23,37363700139c1aef873bbcd916e57dfd,260,1,63.1
24,a2649503b92028291f011a976619b322,207,1,100.25
25,6cbe8a392b76916e84c2faf69d0d0da0,30,1,188.41
26,92fd8aa5948e20c43a014c44c025c5e1,192,1,106.95
27,661a5e18a28b34880ccc60112f2b8e8e,188,1,66.79
28,5f7d7732b351ce851a158528581af05f,89,1,508.17
29,1b542f810484d8c042aed33a7c61a218,155,1,49.69
30,3e4fd73f1e86b135b9b121d6abbe9597,277,1,356.12
31,394b2ce444baae9ae609f5d32000de0f,24,1,121.62
32,08fb46d35bb3ab4037202c23592d1259,85,2,44.72
33,372e0fc66eacb8698e4f9997d366d961,103,1,82.33
34,cc1a30280651daf2d918ed7868575771,31,1,52.24
35,b2cac0b16835dabf811b204127f58afa,209,1,52.84
36,db979bdfe0bbba29ecd3df3f6c50bea2,64,1,71.91
37,c77154776ead8e798c2d684205938f71,34,4,302.08
38,38cad70d154a4dcc42b598d5c01f7ef1,257,1,386.33
39,7cfba6e55439cae3fd2479d62fafe67f,79,1,128.68
40,f7603d34c795584792a484186233e6e5,79,1,43.46
41,ddf60e20e6e262e2136801ce5cd628b0,173,4,183.36
42,6da92ae920ab16fc4eceb8fcd7bd43ce,271,1,91.66
43,da45a9a1df408c39f013b9b0b505042c,24,1,53.66
44,bf0303939d54b8df5da4762bbaab1955,287,1,317.34
45,9c9cef121cb812cb301babddc2d8331e,190,1,43.0
46,0e764fc1a13e47e900c3d59a989753e8,129,4,692.18
47,6a0e43f0d7e1b5539e4c58a26ebe35da,233,4,1649.52
48,5d710d9a48ebb7fe5ffc2940ff29f346,200,1,39.99
49,a464f750556546a0989d9326ec003ccf,71,16,1570.4
50,c86a25b8f5f6c203bb3471553bdc3200,77,1,55.02
51,3c0402bcc3ec3b33fc4430eb6c08720a,45,1,46.2
52,7f2eb9cf900070f2e7a7f0e95719f85b,138,1,209.41
53,fa0ee7ceb94193fb02aa78ce3a55695a,195,2,267.6
54,65e5aaf9f721945f29cdba45c206cb83,31,1,37.83
55,a71cac9f356cfeb9db35061020806212,2,4,403.64
56,2ae3c67452283d5a0d30b32e0d33296e,213,2,105.25
57,e3bcfea9bab07b492391664fc1ffc28a,317,1,231.12
58,4754e3b66497719a91b36268ed9c5718,264,2,881.11
59,cd148470c375939669971e8a032b16b4,183,1,409.79
60,b11b7871c2b8be2d11fab954f58542f2,110,1,62.69
61,42f80af2e6c585667e4eb416859ae153,218,1,105.56
62,adeefbe14d26d3bf90facfeaae35d605,120,1,37.38
63,bb7ef994cc22b1fc694ac59fb377b824,139,1,120.84
64,b6aa1d5781553afaa244c3e42246d93c,251,1,238.69
65,4a8c8f751984985cd49f74249da95aae,128,1,772.08
66,00b2ca23369b68c4d4105ecea9c0cb93,26,1,103.27
67,ca73adc05ad5d0d880de79b5ea3253b3,107,1,23.69
68,781ae350edb16842380e81d7c7feb431,280,1,101.74
69,439ced9aafa171a1ac88efa951c7db0a,85,1,117.77
70,08de4d9507128e2ad419e26cc4f22b65,3,1,172.14
71,0c8761c28faa9b9930e4a9bb545905da,29,1,21.38
72,c7f8d7b1fffc946d7069574f74c39f4e,25,1,50.35
73,97f104e8e54ef4147d17fc1536a1482c,180,1,554.4
74,8e4404700874036dbb2c606039875e1a,203,1,96.01
75,34c58672601f2c6d29db7efd1f6bf958,213,1,42.4
76,efc37ae565ee0943cca2b89fc65c4d6f,273,1,40.09
77,e3c0567a8b991a9d812ee91f2650db40,209,1,26.44
78,337bf0efbf9e5ba67461d2e5b4e5c2b1,6,4,265.76
79,8279be4e9b2fbb615ace365178b785a0,53,1,111.89
80,5bbc03d010ac4dbcfdfa2018349c8f6e,111,1,231.79
81,7d185d821a11c769636247766f1fd45e,275,1,135.51
82,91a7366b39d3620ce44f85fa5d116896,218,1,58.0
83,198fa73f9282fb46d9b5b5c25394b7e1,8,1,66.02
84,2ed58d0567a2839599b85957ee02bca9,211,4,106.4
85,c53e944da3d3ad66ccb7527165b78681,151,9,1555.17
86,3ed766ba830792bcc9ad889d2607eab7,174,1,78.15
87,f9c75a729bd4f0b6c346b18ad9fbc1cb,112,1,84.57
88,8731e1c5aa27eced509f47d8012ff81e,277,4,284.32
89,5fa1f56316f4154109ceb42651385b7c,125,1,141.9
90,5179541696b879141c1f0bb532f988c9,281,1,161.77
91,48d4bf53229ec530405b4e461ae6adb0,313,4,191.04
92,be5be2dbad1352c6b4966664a5bb4fe9,37,1,68.59
93,377bdfb2197d3b83c9e3f9502deabcfb,270,1,106.38
94,81cfe11d1b667c768e77b6a9db5fe9b3,156,1,141.67
95,fe65c76fc3eb742328d1401c521c95b4,232,1,89.88
96,2ad3e60daba1700dc116ea525e842f28,203,4,374.4
97,38eb5d4dcd39b971746632c47a4eb123,42,1,118.35
98,b2d3863477633ff42a3dad9a7dd61cda,82,1,38.47
99,cc9cbe91f775a595bcb05af59019b396,104,1,51.79
100,548a09978548d2e347d494793e34c797,54,4,464.28
101,b854c56e1163bced9c3ebf1e4a6576f3,161,19,592.38
102,82ab8d779ce526b08d6b92769be44c49,231,1,156.67
103,311dff8c3112b3ea255ec4871cabaf03,274,1,299.72
104,831a032a3327e2b8325faf9d37953870,109,36,1886.04
105,65ee274b862c5c053367be8a70dbc029,96,2,198.78
106,a3d335d8dd759126b58367c6053bb20a,276,1,75.18
107,2f97fb04ba09cfa05b9e3b3af4e8e247,284,4,322.6
108,02c639f8dd288caf7cc6dc66513c23b3,36,1,117.45
109,b577af9a54b023b4bcc51f69bb937f1c,196,1,170.43
110,528b011eb7fab3d59c336cc7248eed3a,231,1,69.12
111,50f99f56ab935ac45c6f1cd4c0bfbe2a,65,1,68.63
112,9e0c06f4607e8d1c8b1bb5419446c5b9,58,1,86.05
113,8051546e4730145100f73eb919000a81,328,1,217.78
114,d0db8f74fe8af2b92d1e7159472874f0,250,1,67.5
115,f1e0cfbcfd9aebd6d003f6667551a9ae,207,3,215.14
116,ab93bfed86e2417198d66cf58945442e,89,4,253.34
117,0319cd43072df023584a1fa0a94d45ce,19,1,285.59
118,66d7c05de70168738de8f6f8b5adce82,287,1,145.5
119,9ed19e34d278749a58db6f4659f679b1,125,1,43.29
120,fe22f09401a6af700ab66fac2edbea15,45,1,38.41
